5072 90594593 7207745 65663021 7207745
5136 92852413 7385679 67287249 7385679
5200 95194734 7565599 68987964 7565599
5264 97467277 7748289 70610949 7748289
5328 99787870 7933337 72273888 7933337
5392 102347486 8118946 74168163 8118946
5456 104703452 8308136 75850655 8308136
5520 107168180 8542277 77639287 8542277
5584 109799652 8735586 79580966 8735586
5648 112283899 8931348 81368069 8931348
5712 114858251 9129125 83237256 9129125
5776 117353145 9329680 85019033 9329680
5840 119898113 9532606 86842773 9532606
5904 122702544 9735906 88918320 9735906
5968 125281001 9943105 90759738 9943105
6032 127975482 10199051 92715052 10199051
6096 130849559 10410202 94835728 10410202
