7120 336,456,306 85,708,710 291,892,851 85,708,710
7184 342,759,963 87,277,481 297,393,393 87,277,481
7248 348,666,790 88,818,399 302,486,794 88,818,399
7312 355,083,274 90,415,238 308,085,791 90,415,238
7376 361,094,893 91,983,497 313,269,556 91,983,497
7440 367,624,044 93,608,552 318,966,848 93,608,552
7504 373,740,653 95,204,010 324,241,175 95,204,010
7568 380,382,814 96,856,996 330,037,105 96,856,996
7632 386,604,063 98,479,930 335,401,644 98,479,930
7696 393,359,054 100,161,003 341,296,032 100,161,003
7760 399,685,081 101,811,268 346,750,921 101,811,268
7824 406,552,918 103,520,408 352,743,783 103,520,408
7888 412,983,746 105,198,005 358,289,045 105,198,005
7952 419,964,444 106,935,234 364,380,396 106,935,234
8016 426,500,062 108,640,163 370,016,020 108,640,163
8080 433,593,601 110,405,481 376,205,840 110,405,481
8144 440,233,997 112,137,735 381,931,814 112,137,735
